B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B24, Trade, 587.775, 353, S07, B24, 1
B24, Trade, 598.075, 353, S09, B24, 1
B25, 52
B25, Trade, 9.662, 213, B25, S10, 1
B25, Trade, 20.412, 193, B25, S06, 1
B25, Trade, 26.762, 213, B25, S15, 1
B25, Trade, 31.462, 207, B25, S02, 1
B25, Trade, 45.675, 184, B25, S05, 1
B25, Trade, 60.700, 200, B25, S15, 1
B25, Trade, 64.613, 200, B25, S15, 1
B25, Trade, 87.675, 206, B25, S02, 1
B25, Trade, 94.550, 191, B25, S05, 1
B25, Trade, 109.925, 218, B25, S06, 1
B25, Trade, 117.163, 200, S17, B25, 1
B25, Trade, 125.763, 193, B25, S15, 1
B25, Trade, 136.863, 208, B25, S00, 1
B25, Trade, 150.238, 213, B25, S06, 1
B25, Trade, 164.262, 204, B25, S10, 1
B25, Trade, 175.775, 212, B25, S15, 1
B25, Trade, 193.412, 192, B25, S00, 1
B25, Trade, 195.912, 200, B25, S01, 1
B25, Trade, 212.812, 207, B25, S06, 1
B25, Trade, 226.725, 205, B25, S15, 1
B25, Trade, 241.662, 199, B25, S16, 1
B25, Trade, 250.650, 197, B25, S00, 1
B25, Trade, 261.400, 190, B25, S15, 1
B25, Trade, 266.462, 207, B25, S18, 1
B25, Trade, 277.250, 189, B25, S08, 1
B25, Trade, 284.450, 177, B25, S12, 1
B25, Trade, 302.162, 200, B25, S14, 1
B25, Trade, 311.575, 338, S15, B25, 1
B25, Trade, 328.875, 345, B25, S09, 1
B25, Trade, 338.012, 351, B25, S00, 1
B25, Trade, 351.237, 346, B25, S02, 1
B25, Trade, 359.925, 350, B25, S03, 1
B25, Trade, 375.537, 348, S11, B25, 1
B25, Trade, 390.012, 342, B25, S05, 1
B25, Trade, 393.825, 346, B25, S01, 1
B25, Trade, 413.812, 344, B25, S02, 1
B25, Trade, 429.937, 351, B25, S00, 1
B25, Trade, 443.000, 329, B25, S06, 1
B25, Trade, 448.225, 346, B25, S00, 1
B25, Trade, 456.887, 354, B25, S01, 1
B25, Trade, 468.112, 349, B25, S07, 1
B25, Trade, 473.237, 342, B25, S14, 1
B25, Trade, 494.962, 346, B25, S05, 1
B25, Trade, 504.137, 352, S13, B25, 1
B25, Trade, 514.887, 344, B25, S00, 1
B25, Trade, 527.012, 346, B25, S00, 1
B25, Trade, 547.450, 344, B25, S01, 1
B25, Trade, 559.475, 349, B25, S17, 1
B25, Trade, 573.237, 347, B25, S00, 1
B25, Trade, 582.237, 352, B25, S02, 1
B25, Trade, 587.062, 352, B25, S13, 1
B25, Trade, 597.362, 353, B25, S03, 1
B26, 36
B26, Trade, 10.987, 193, B26, S03, 1
B26, Trade, 31.487, 209, S04, B26, 1
B26, Trade, 49.263, 194, S18, B26, 1
B26, Trade, 61.363, 202, S18, B26, 1
B26, Trade, 68.450, 203, S20, B26, 1
B26, Trade, 73.913, 202, S07, B26, 1
B26, Trade, 90.988, 219, B26, S20, 1
B26, Trade, 97.863, 215, S22, B26, 1
B26, Trade, 108.338, 177, S09, B26, 1
B26, Trade, 129.213, 203, S20, B26, 1
B26, Trade, 133.775, 221, S23, B26, 1
B26, Trade, 147.850, 225, S13, B26, 1
B26, Trade, 160.912, 203, S20, B26, 1
B26, Trade, 177.800, 207, S19, B26, 1
B26, Trade, 190.250, 201, S07, B26, 1
B26, Trade, 207.887, 207, B26, S20, 1
B26, Trade, 215.200, 205, B26, S16, 1
B26, Trade, 230.450, 182, S11, B26, 1
B26, Trade, 247.125, 200, S09, B26, 1
B26, Trade, 258.775, 215, S22, B26, 1
B26, Trade, 262.675, 195, S18, B26, 1
B26, Trade, 286.212, 201, S13, B26, 1
B26, Trade, 291.750, 219, S09, B26, 1
B26, Trade, 315.025, 334, B26, S00, 1
B26, Trade, 345.525, 345, S11, B26, 1
B26, Trade, 366.525, 351, S17, B26, 1
B26, Trade, 379.825, 356, S22, B26, 1
B26, Trade, 405.062, 347, S18, B26, 1
B26, Trade, 413.387, 356, S12, B26, 1
B26, Trade, 421.687, 339, B26, S02, 1
B26, Trade, 441.712, 350, S17, B26, 1
B26, Trade, 469.737, 333, B26, S03, 1
B26, Trade, 484.787, 360, S09, B26, 1
B26, Trade, 544.400, 353, S12, B26, 1
B26, Trade, 566.750, 350, S08, B26, 1
B26, Trade, 577.662, 345, B26, S03, 1
B27, 57
B27, Trade, 4.975, 215, S22, B27, 1
B27, Trade, 20.212, 206, S18, B27, 1
B27, Trade, 23.625, 204, S07, B27, 1
B27, Trade, 40.875, 206, S13, B27, 1
B27, Trade, 50.263, 203, S20, B27, 1
B27, Trade, 55.800, 226, S07, B27, 1
B27, Trade, 69.213, 215, S22, B27, 1
B27, Trade, 76.875, 206, S17, B27, 1
B27, Trade, 85.775, 184, S17, B27, 1
B27, Trade, 98.513, 183, S14, B27, 1
B27, Trade, 107.075, 178, S12, B27, 1
B27, Trade, 117.288, 226, S22, B27, 1
B27, Trade, 129.513, 215, S22, B27, 1
B27, Trade, 140.188, 210, S11, B27, 1
